groupz    galz    R200    Sigma    Lgroup    Nmemb    Mgroup    DeltaLSS    dR200    MassBest    nI    nB    gReI    gReB    diskhI-tot    diskhB-tot    bulgeRe-I    bulgeRe-B    diskInc-I    diskInc-B    SFRBest    sSFRBest    B-I    Jmag    Hmag    Kmag    BulgeMass    DiskMass    FUV-NUV    umag    gmag    rmag    imag    zmag    
0.05122     0.05148     0.236     132.0     2.3776e+10       6     1.5643e+12     -0.377     0.598     1.1200e+09       1.11       0.74       2.118       2.111       1.221       1.356       1.469       0.227      23.109      25.897      1.2598     .1249e-09       0.517     17.855     17.520     17.136     NA    .1593e+08       0.283     NA    NA    NA    NA    NA    
0.05122     0.05109     0.236     132.0     2.3776e+10       6     1.5643e+12     -0.377     0.000     5.4100e+09       1.22       1.01       4.248       4.124       2.422       2.439     -98.000     NA    -98.000     NA     0.0530     .7897e-12       1.200     16.314     16.822     15.767     NA    NA    NA    NA    NA    NA    NA    NA    
0.05122     0.05085     0.236     132.0     2.3776e+10       6     1.5643e+12     -0.377     1.960     1.8200e+09       4.26       4.85       1.402       1.140     NA    NA      0.834       0.834      52.632      52.632      0.0151     .2830e-12       1.035     17.900     17.411     NA    .7301e+08      .8961e+08       0.551     NA    NA    NA    NA    NA    
0.05122     0.05130     0.236     132.0     2.3776e+10       6     1.5643e+12     -0.377     1.370     1.2100e+09       1.23       1.66       1.988       1.896     NA    NA      0.982       1.089      59.503      57.167      0.9209     .6105e-10       0.679     NA    NA    NA    .5913e+07      .1303e+08      -1.544     NA    NA    NA    NA    NA    
0.05122     0.05210     0.236     132.0     2.3776e+10       6     1.5643e+12     -0.377     1.840     2.7800e+09       1.46       1.44       2.500       2.658     NA    NA      1.382       1.382      68.011      68.011      0.2963     .0657e-10       0.723     16.481     15.915     16.926     .7134e+08      .8357e+09       0.759     NA    NA    NA    NA    NA    
0.05192     0.05226     0.449     261.7     8.1020e+10       5     1.0784e+13      0.725     1.882     3.5600e+10       2.60       2.42       2.035       2.134     NA    NA      0.683       0.691      63.837      63.837      0.0001     .0000e-14       1.449     15.725     15.537     15.491     .0606e+10      .6010e+10      NA    NA    NA    NA    NA    NA    
0.05192     0.05087     0.449     261.7     8.1020e+10       5     1.0784e+13      0.725     1.116     7.5700e+09       2.77       2.01       2.356       2.523     NA    NA      1.480       1.480      41.410      41.410      0.8404     .1101e-10       1.174     16.496     15.905     16.613     .6534e+09      .1766e+09       0.459     NA    NA    NA    NA    NA    
0.05192     0.05285     0.449     261.7     8.1020e+10       5     1.0784e+13      0.725     0.215     1.9500e+09       0.91       0.72       2.801       3.115       1.738       2.055       0.208       0.264      37.233      40.115      0.0978     .0144e-11       0.830     17.237     NA    16.715     NA    .1706e+09      -0.126     NA    NA    NA    NA    NA    
0.05192     0.05156     0.449     261.7     8.1020e+10       5     1.0784e+13      0.725     0.568     1.8100e+09       1.41       1.11       5.460       5.032       2.741       2.875       3.124       3.124      68.359      68.359      0.1423     .8624e-11       0.912     17.153     NA    NA    .7504e+08      .1492e+09       0.265     NA    NA    NA    NA    NA    
0.05192     0.05192     0.449     261.7     8.1020e+10       5     1.0784e+13      0.725     0.000     8.5100e+10     NA    NA    NA    NA    NA    NA      0.850       0.739      62.266      63.647      5.4316     .3826e-11       1.180     13.718     13.383     13.667     .0887e+10      .3575e+10       0.470     NA    NA    NA    NA    NA    
